key,days_until,tweet_hours
Boulder-Blockchain,6,15
Boulder-Blockchain,3,15
Boulder-Blockchain,0,9|16
Ethereum-Boulder,6,15
Ethereum-Boulder,3,15
Ethereum-Boulder,0,9|16
Women-in-BlockChain-MeetUp,6,15
Women-in-BlockChain-MeetUp,3,15
Women-in-BlockChain-MeetUp,0,9|16
Colorado-Government-Blockchain-Professionals,6,15
Colorado-Government-Blockchain-Professionals,3,15
Colorado-Government-Blockchain-Professionals,0,9|16
Hyperledger-Denver,6,15
Hyperledger-Denver,3,15
Hyperledger-Denver,0,9|16
Bitcoin-and-Beer,6,15
Bitcoin-and-Beer,3,15
Bitcoin-and-Beer,0,9|16
Colorado-Springs-Blockchain-Crypto-Entrepreneurs,6,15
Colorado-Springs-Blockchain-Crypto-Entrepreneurs,3,15
Colorado-Springs-Blockchain-Crypto-Entrepreneurs,0,9|16
Denver-Crypto-Group,6,15
Denver-Crypto-Group,3,15
Denver-Crypto-Group,0,9|16
Colorado-Springs-Bitcoin-Meetup,6,15
Colorado-Springs-Bitcoin-Meetup,3,15
Colorado-Springs-Bitcoin-Meetup,0,9|16
Colorado-Springs-Blockchain-Crypto-Entrepreneurs,6,15
Colorado-Springs-Blockchain-Crypto-Entrepreneurs,3,15
Colorado-Springs-Blockchain-Crypto-Entrepreneurs,0,9|16
